artist,id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity
MEDUZA,7CHi4DtfK4heMlQaudCuHK,Lose Control,0.598,0.526,10.0,-8.658999999999999,0.0,0.0415,0.129,0.0,0.14,0.529,123.935,91
Kanye West,2QpGZOhTCHHiKmpSO9FW4h,Follow God,0.529,0.9,1.0,-3.503,1.0,0.418,0.000248,1.21e-05,0.0426,0.434,180.291,93
Stormzy,07s9NNOT0sZQp7TyolLLgu,Own It (feat. Ed Sheeran & Burna Boy),0.826,0.79,10.0,-4.341,1.0,0.126,0.0073,9.9e-06,0.122,0.377,104.032,44
Billie Eilish,2Fxmhks0bxGSBdJ92vM42m,bad guy,0.701,0.425,7.0,-10.965,1.0,0.375,0.3279999999999999,0.13,0.1,0.562,135.128,96
Noah Cyrus,5a6pdCHlWS2ekOOQ70QnAr,July,0.708,0.186,9.0,-8.953,0.0,0.0422,0.868,0.0,0.0779,0.321,72.541,86
KAROL G,7k4t7uLgtOxPwTpFmtJNTY,Tusa,0.8029999999999999,0.715,2.0,-3.28,1.0,0.298,0.295,0.000134,0.0574,0.574,101.085,87
Martin Garrix,7pWK1kMgHy5lNNiIfuRbkP,Used To Love (with Dean Lewis),0.6509999999999999,0.693,4.0,-4.722,1.0,0.0375,0.4579999999999999,0.0,0.335,0.392,118.97,86
Post Malone,7CZyCXKG6d5ALeq41sLzbw,Take What You Want (feat. Ozzy Osbourne & Travis Scott),0.499,0.8,1.0,-2.665,0.0,0.0502,0.0906,0.0,0.147,0.272,139.91899999999998,92
JP Saxe,2kJwzbxV2ppxnQoYw4GLBZ,If The World Was Ending (feat. Julia Michaels),0.4639999999999999,0.473,1.0,-10.086,1.0,0.129,0.866,0.0,0.109,0.604,75.801,84
Dan + Shay,2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)",0.654,0.63,10.0,-4.644,1.0,0.0259,0.153,0.0,0.111,0.43,89.991,95
Ed Sheeran,4evmHXcjt3bTUHD1cvny97,Beautiful People (feat. Khalid),0.64,0.648,5.0,-8.113,0.0,0.187,0.124,0.0,0.0802,0.5479999999999999,92.977,93
BTS,314ZkcV7oLWG8yWE7LABvH,Make It Right (feat. Lauv),0.584,0.685,7.0,-7.811,1.0,0.425,0.0304,0.0,0.1889999999999999,0.345,97.551,89
Daddy Yankee,6RyaV7owmVU6fzEPE17sF1,Que Tire Pa Lante,0.6579999999999999,0.901,7.0,-2.814,1.0,0.0357,0.0478,0.0,0.12,0.708,93.979,91
Young Thug,56AMYGJzxBO6p8v0wEe9de,Hot (Remix) [feat. Gunna and Travis Scott],0.848,0.713,7.0,-5.636,0.0,0.176,0.158,0.0,0.0765,0.509,111.984,89
Coldplay,6muOWhMh7Tf0UFUtMDBhUR,Orphans,0.503,0.8079999999999999,11.0,-5.051,0.0,0.045,0.0254,0.00162,0.557,0.283,107.975,85
5 Seconds of Summer,1JRK7srBWUtAW7dPabKBwJ,Teeth,0.755,0.4479999999999999,3.0,-2.9930000000000003,0.0,0.0405,0.0508,3.87e-06,0.11,0.431,139.028,87
YNW Melly,66FltlEV09mPJYAyfYm8De,Bang Bang,0.657,0.522,10.0,-7.632000000000001,1.0,0.397,0.156,0.0,0.0811,0.442,179.687,0
Lil Baby,598yNsG1JFrGd4n2kMoz7F,Woah,0.882,0.602,11.0,-5.553999999999999,1.0,0.245,0.0177,0.0,0.178,0.43,142.959,84
Trippie Redd,7tgjDlQsMR8RvkdlNCJA58,6 Kiss,0.687,0.449,2.0,-10.061,1.0,0.154,0.109,0.0,0.282,0.2289999999999999,142.048,36
Juice WRLD,6Gg1gjgKi2AK4e0qzsR7sd,Bandit (with YoungBoy Never Broke Again),0.474,0.631,5.0,-5.884,0.0,0.3429999999999999,0.0687,0.0,0.132,0.425,180.051,94
DaBaby,0fySG6A6qLE8IvDpayb5bM,VIBEZ,0.768,0.652,1.0,-2.708,0.0,0.307,0.113,0.0,0.107,0.777,154.187,88
A Boogie Wit da Hoodie,364spZLB5bhNlnPrzvUB41,Reply (feat. Lil Uzi Vert),0.512,0.623,9.0,-6.553,0.0,0.0808,0.0187,0.0,0.13,0.2189999999999999,112.15,80
Roddy Ricch,5ravc2aiNoYmu9m37diYXW,Start Wit Me (feat. Gunna),0.919,0.556,4.0,-6.049,0.0,0.1639999999999999,0.0933,0.0,0.109,0.539,130.025,83
Flipp Dinero,0jBJIQuToUUOEx7JJkiPzm,How I Move (feat. Lil Baby),0.826,0.635,5.0,-5.181,0.0,0.212,0.102,0.0,0.245,0.8079999999999999,119.954,69
YNW Melly,40QmDP485PDepnUOGJlbUP,I Ain't Lying,0.782,0.415,0.0,-10.028,1.0,0.2769999999999999,0.0404,0.0,0.2269999999999999,0.762,150.156,0
Lil Mosey,5hDAT527wXWNBnJlujhuUs,Stuck In A Dream (feat. Gunna),0.753,0.652,10.0,-5.943,0.0,0.0753,0.444,0.0,0.1169999999999999,0.745,139.96200000000002,85
24kGoldn,0c7K73roy6RW4ebDkf4yGh,VALENTINO,0.745,0.718,9.0,-4.853,0.0,0.183,0.1969999999999999,0.0,0.134,0.539,151.097,88
21 Savage,4IO8X9W69dIQe0EC5ALXhq,Immortal,0.741,0.87,6.0,-3.494,0.0,0.503,0.00813,0.0,0.114,0.6629999999999999,184.194,85
YoungBoy Never Broke Again,6klLvorLoo1sxvZcjJIY8I,Make No Sense,0.8759999999999999,0.733,10.0,-4.478,0.0,0.3329999999999999,0.0208,0.0,0.0999,0.962,154.904,86
NLE Choppa,4sWuPniHClkInYAnzXAYUF,Camelot,0.787,0.713,7.0,-5.252000000000001,1.0,0.401,0.0849,0.0,0.7170000000000001,0.762,175.041,90
Drake,5r7WvQtyPfy1xch5zMgGRp,Behind Barz - Bonus,0.8540000000000001,0.5539999999999999,8.0,-4.684,1.0,0.172,0.769,1.84e-06,0.0749,0.272,142.069,84
Lil Tjay,0UPBidRYcgJ2mjZlk08V8x,F.N,0.562,0.502,6.0,-10.269,0.0,0.255,0.3229999999999999,0.0,0.0757,0.322,120.104,82
Mustard,3QzAOrNlsabgbMwlZt7TAY,Ballin' (with Roddy Ricch),0.809,0.545,7.0,-6.678,1.0,0.0735,0.392,0.0,0.151,0.244,97.008,87
Baby Keem,5FkoSXiJPKTNyYgALRJFhD,ORANGE SODA,0.83,0.564,1.0,-7.822,1.0,0.235,0.177,0.0,0.128,0.107,85.042,78
Internet Money,735RSTb2xbtWbDtKD9XDYi,Somebody,0.63,0.6709999999999999,6.0,-6.659,0.0,0.256,0.363,0.0,0.113,0.3329999999999999,89.921,85
Young Thug,1GeNui6m825V8jP4uKiIaH,Bad Bad Bad (feat. Lil Baby),0.974,0.596,6.0,-8.888,1.0,0.184,0.0976,0.0,0.151,0.892,111.959,86
Stunna 4 Vegas,09TZsMHXEtQkdmMJZPLKup,Up The Smoke (with Offset),0.907,0.765,4.0,-7.042999999999999,1.0,0.426,0.0512,0.0,0.153,0.8959999999999999,142.99200000000002,72
DaBaby,1CCDIow4pPYyJYzhtTUYz2,RAW SHIT (feat. Migos),0.8740000000000001,0.7140000000000001,5.0,-4.946000000000001,1.0,0.233,0.0273,0.0,0.356,0.85,130.046,81
Trippie Redd,6YfTl5YupXOQBKiJJLrxcw,Death (feat. DaBaby),0.802,0.82,10.0,-5.968999999999999,0.0,0.146,0.0579,0.0,0.149,0.613,164.005,78
Doja Cat,7qvsl2pYzrsYgPeFBN5jxp,Juicy,0.7859999999999999,0.6579999999999999,0.0,-2.61,1.0,0.0661,0.0856,0.0,0.0689,0.4579999999999999,170.037,83
Roddy Ricch,5MVdzbNmCVf9cWbkqFakkr,Big Stepper,0.72,0.644,8.0,-8.099,0.0,0.341,0.0388,0.0,0.1939999999999999,0.611,77.673,80
Chance the Rapper,00ko9WaS4jOX1kEk3gvHjf,Hot Shower,0.897,0.522,2.0,-7.577999999999999,1.0,0.374,0.0016,0.0,0.0554,0.623,149.986,86
A Boogie Wit da Hoodie,2xE16muNCmhZwSOv3i1d1H,Mood Swings,0.943,0.664,4.0,-5.952000000000001,0.0,0.106,0.235,5.84e-06,0.1119999999999999,0.93,120.051,81
Pardison Fontaine,34e2WyzmjG2aDk7KykOOZZ,Take It Down (feat. Offset),0.917,0.494,1.0,-5.772,1.0,0.085,0.0393,0.0,0.1939999999999999,0.341,143.048,48
Russ,2Xo3rLHjXfdb4avN68aQyi,BEST ON EARTH (feat. BIA),0.568,0.764,5.0,-3.465,0.0,0.255,0.217,0.0,0.0931,0.625,179.985,83
Kash Doll,050ud0e5cmIYjmXplDugVQ,Ready Set (feat. Big Sean),0.8490000000000001,0.62,4.0,-5.921,0.0,0.0589,0.00252,0.000283,0.113,0.481,96.005,72
